scraped_at,created_at,username,comment,likes
2025-12-10T14:28:01,2025-12-07T20:10:38,ipank_roll,Kenapa gak dibubarin aja skalian negara nya pak ???? 😂,0
2025-12-10T14:28:01,2025-12-07T20:10:18,yovivoy,Nyawa 1 orang kaya dia ga lebih berharga dari populasi rakyat indo🔥,0
2025-12-10T14:28:01,2025-12-07T20:10:11,iqbalsunandar22,Di kasih bumbu apa ya enak nya🤔,0
2025-12-10T14:28:01,2025-12-07T20:09:45,ardiansyahfikri,Siaaaap Banaken Basoken,0
2025-12-10T14:28:01,2025-12-07T20:08:53,wahyulestari__94,Pokok jenengan siap Nepal Jilid 2 pak 😌,0
2025-12-10T14:28:01,2025-12-07T20:08:00,trisna_17089,"DPRD DPR-RI dibubarkan oleh rakyat, dan diazab oleh Allah SWT",0
2025-12-10T14:28:01,2025-12-07T20:07:53,fe.briansyah6500,"Tolong dong,klo bisa di bubarkan saja",0
2025-12-10T14:28:01,2025-12-07T20:07:49,erick_yu20,"Ke enakan elu bahlul bahlul, nanti malah pejabat nya urusin pejabat bukan urusin rakyat lagi",0
2025-12-10T14:28:01,2025-12-07T20:07:06,hakim_dede69,"Asa hayang ngajitak hulu na asli , Meni kerenyeng aing ka si eta",0
2025-12-10T14:28:01,2025-12-07T20:06:34,ikkaqmrn,BAHLIL B nya apa gesss,0
2025-12-10T14:28:01,2025-12-07T20:05:54,zulfiyana34,Nggak setujuu.. Nambah2 koruptor berlipat2 nanti oknum2 tidak bertanggung jawab,0
2025-12-10T14:28:01,2025-12-07T20:05:42,iemasundrise,Njing kenapa sih orang ini haus banget ....,0
2025-12-10T14:28:01,2025-12-07T20:02:40,dk_rhy_j,Otak dan kepala dijual terpisah,0
2025-12-10T14:28:01,2025-12-07T20:02:32,m.dms.agra,"Merubah UUD lagi kah,atau mau balik ke jaman dulu 😂",0
